Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X -38402  Y 90337
X -47606  Y 91321
X -61000  Y 91500
X -52013  Y 91500
X -38990  Y 96242
X -39090  Y 100172
X -57761  Y 100575
X -60636  Y 102036
X -39294  Y 111059
X -40285  Y 121421
X -41835  Y 135184
X -21905  Y 135225
X -22564  Y 120841
X -32841  Y 118561
X -32518  Y 116158
X -13023  Y 116033
X -24500  Y 114100
X -20523  Y 113399
X -21856  Y 111567
X -28700  Y 104700
X -22800  Y 104700
X -20104  Y 104071
X -16800  Y 104051
X -25311  Y 103958
X -36700  Y 103100
X -33689  Y 99197
X -17935  Y 96712
X -23564  Y 96681
X -29074  Y 96681
X -12425  Y 96681
X -33696  Y 96315
X -33775  Y 93468
X -23504  Y 91563
X -29044  Y 91563
X -17844  Y 91473
X -12395  Y 91383
X -32947  Y 90400
X -33006  Y 87453
X -29042  Y 86376
X -17758  Y 86268
X -23494  Y 86241
X -36273  Y 84912
X -22856  Y 82050
X -27921  Y 80119
X -13919  Y 79970
X -18114  Y 79722
X -30298  Y 77637
X -35989  Y 77101
X -30460  Y 69744
X -22741  Y 69649
X -32602  Y 69528
X -28320  Y 69012
X -35002  Y 68749
X -20496  Y 68660
X -16527  Y 68625
X -13868  Y 68607
X -25552  Y 68571
X -32007  Y 61702
X -22500  Y 61400
X -18894  Y 61097
X -14939  Y 61022
X -27896  Y 60793
X -20800  Y 60100
X -25000  Y 59100
X -29600  Y 58200
X -23200  Y 57800
X -26700  Y 57500
X -16026  Y 54938
X -13500  Y 54900
X -13248  Y 52693
X -22770  Y 45055
X -13610  Y 43948
X -13475  Y 41707
X -16059  Y 41508
X -16171  Y 39321
X -18447  Y 39160
X -19926  Y 37539
X -22366  Y 35412
X -18855  Y 35085
X -31672  Y 31693
X -24000  Y 29700
X -26827  Y 29471
X -21702  Y 29456
X -19141  Y 29443
X -15309  Y 25887
X -20638  Y 25446
X -22993  Y 25437
X -18441  Y 25382
X -26700  Y 24800
X -29694  Y 24576
X -26891  Y 19214
X -23369  Y 19157
X -15300  Y 19100
X -25783  Y 17261
X -32008  Y 16584
X -26693  Y 15038
X -34917  Y 10240
X -18000  Y 10000
X -16000  Y 10000
X -18000  Y 7500
X -16000  Y 7500
X -29500  Y 6700
X -34917  Y 5122
X -31618  Y 5113
X -35800  Y 700
X -31722  Y -991
X -27158  Y -1013
X -32700  Y -2500
X -27000  Y -3500
X -31700  Y -4104
X -36234  Y -4371
X -27158  Y -6131
X -29372  Y -8830
X -35400  Y -9800
X -31925  Y -11645
X -34917  Y -15349
X -29140  Y -16900
X -35100  Y -17700
X -35154  Y -20472
X -29162  Y -21463
X -20142  Y -25590
X -29162  Y -26581
X -32276  Y -26603
X -31722  Y -29140
X -29162  Y -29140
X -19481  Y -29162
X -24599  Y -29162
X -22040  Y -29162
X -14018  Y -29398
X -19481  Y -31722
X -30713  Y -34917
X -28154  Y -34917
X -25800  Y -35100
X -23031  Y -35154
X -19014  Y -39716
X -19006  Y -44193
X -23508  Y -45608
X -32840  Y -46900
X -18961  Y -48877
X -33817  Y -50141
X -33817  Y -53450
X -18941  Y -53729
X -34833  Y -56907
X -18946  Y -58167
X -23053  Y -58923
X -18960  Y -63024
X -18496  Y -72097
X -18521  Y -74613
X -30131  Y -76745
X -25521  Y -80462
X -13678  Y -81721
X -35731  Y -82442
X -15516  Y -83376
X -30450  Y -85144
X -28408  Y -87577
X -26137  Y -89051
X -30420  Y -93945
X -19695  Y -94432
X -33664  Y -97013
X -32100  Y -103500
X -19595  Y -106132
X -32100  Y -110000
X -19519  Y -118782
X -30022  Y -122874
X -19519  Y -127282
X -30368  Y -130681
X -30368  Y -135602
X -13002  Y -141687
X -25076  Y -143217
X -13006  Y -147685
X -12393  Y -150590
X -32085  Y -157632
X 13164  Y -140342
X 4000  Y -139700
X -2846  Y -137824
X -5564  Y -134880
X -7400  Y -131400
X -7300  Y -128400
X -7300  Y -125400
X 12400  Y -122400
X -7400  Y -122400
X 330  Y -119248
X -8481  Y -118856
X 850  Y -115885
X -2200  Y -112100
X -8438  Y -111372
X -6800  Y -108100
X -7000  Y -105000
X 12100  Y -104900
X -7000  Y -102088
X -6900  Y -98900
X -8159  Y -95441
X -3002  Y -91772
X 9372  Y -89969
X 7500  Y -87800
X 9600  Y -86500
X 5971  Y -84700
X 9200  Y -83100
X 6800  Y -80700
X 4000  Y -79400
X 2800  Y -77500
X 300  Y -75100
X 2700  Y -75100
X -10304  Y -73297
X 1200  Y -73100
X -700  Y -71700
X 8681  Y -67330
X 4532  Y -64913
X 3140  Y -62360
X 8030  Y -52504
X 8288  Y -50155
X 8430  Y -44806
X -8997  Y -29388
X -3966  Y -29300
X 3604  Y -29200
X -1513  Y -29200
X -6631  Y -29200
X 6163  Y -29200
X 11281  Y -29200
X 6700  Y -26840
